id;name;alias;address;capital;city;logo;country;description;ownerEntity;headquarters;legalPersonTitle;legalPersonName;legalPersonFirstname;legalPersonPosition;bankName;bankSWIFT;legalPersonCityRC;flagShip;createdAt;updatedAt;picture;addressCorrespondance;informationContact;mixMerchandising;socialMediaStats;workHours;sum_work_hours;specialtyLeasing;areaMap;demography;zip;taxIF;patente;ice;type;specialty;legalPersonRC;bankIBAN;surface;openingYear;parkingSpaces;annualVisitors;daily_visitors
clrs294xp00l0kjey9f9y064l;Borj Fez;BF;Avenue Allal Al Fassi;Avenue Allal Al Fassi;Fes;/uploads/logos/borjFez.jpg;Maroc;Avenue Allal Al Fassi;Societé des Centres Commerciaux de FES;Avenue Allal Al Fassi;Mr;N/A;N/A;N/A;Banque Centrale Populaire;;Rabat;Hypermarché Carrefour;2024-01-24 17:30:07.549;2024-01-24 17:30:07.549;/uploads/images/retail-centers/borj-fez.jpg;Av. AC60 et Route Sidi Messaoud – Route Bouskoura 20190 Casablanca.;[];Avenue Allal Al Fassi;;"""[{\""days\"": \""Sunday\"", \""hours\"": \""12h00 à 20h00\""},{\""days\"": \""Monday\"", \""hours\"": \""08h00 à 16h00\""},{\""days\"": \""Tuesday\"", \""hours\"": \""09h00 à 17h00\""},{\""days\"": \""Wednesday\"", \""hours\"": \""10h00 à 18h00\""},{\""days\"": \""Thursday\"", \""hours\"": \""11h00 à 19h00\""},{\""days\"": \""Friday\"", \""hours\"": \""12h00 à 20h00\""},{\""days\"": \""Saturday\"", \""hours\"": \""08h00 à 14h00\""}]""";8.0;Avenue Allal Al Fassi;;Avenue Allal Al Fassi;30000;40165848;25950070;001439348000072;1;1;70835;19078021217163270000047;25599;2013;801;3000000;8219.18
clrs2e9an019ukjeyh12nouxl;LBG ElJadida;IBGJ;Boulevard Biranzaran, Route de Marrakech;Boulevard Biranzaran, Route de Marrakech;El Jadida;/uploads/logos/lbg.jpg;Maroc;Boulevard Biranzaran, Route de Marrakech;First Commercial Estate El Jadida;Boulevard Biranzaran, Route de Marrakech;Mr;N/A;N/A;N/A;AttijariWafa Bank;N/A;Casablanca;Carrefour.;2024-01-24 17:34:06.480;2024-01-24 17:34:06.480;/uploads/images/retail-centers/lbg-eljadida.jpg;Av. AC60 et Route Sidi Messaoud – Route Bouskoura 20190 Casablanca;[];Boulevard Biranzaran, Route de Marrakech;;"""[{\""days\"": \""Sunday\"", \""hours\"": \""10h00 à 14h00\""},{\""days\"": \""Monday\"", \""hours\"": \""09h00 à 17h00\""},{\""days\"": \""Tuesday\"", \""hours\"": \""08h00 à 16h00\""},{\""days\"": \""Wednesday\"", \""hours\"": \""11h00 à 19h00\""},{\""days\"": \""Thursday\"", \""hours\"": \""12h00 à 20h00\""},{\""days\"": \""Friday\"", \""hours\"": \""13h00 à 21h00\""},{\""days\"": \""Saturday\"", \""hours\"": \""09h00 à 13h00\""}]""";7.0;Boulevard Biranzaran, Route de Marrakech;;Boulevard Biranzaran, Route de Marrakech;24000;2203870;37988014;001711216000014;1;1;159457;007810000181500000118783;6031;2008;800;1000000;2740
clrs2gfn801kgkjey5h12tk2v;LBG Meknes;IBGM;Angle Bd Moulay Youssef et Bd Ibn Khaldoun;Angle Bd Moulay Youssef et Bd Ibn Khaldoun;Meknès;/uploads/logos/lbg.jpg;Maroc;Angle Bd Moulay Youssef et Bd Ibn Khaldoun;Société des Centres Commerciaux de Meknès;Angle Bd Moulay Youssef et Bd Ibn Khaldoun;Mr;N/A;N/A;N/A;BMCI;N/A;Rabat;Carrefour;2024-01-24 17:35:48.021;2024-01-24 17:35:48.021;/uploads/images/retail-centers/lbg-meknes.jpg;Av. AC60 et Route Sidi Messaoud – Route Bouskoura 20190 Casablanca;[];Angle Bd Moulay Youssef et Bd Ibn Khaldoun;;"""[{\""days\"": \""Sunday\"", \""hours\"": \""08h00 à 16h00\""},{\""days\"": \""Monday\"", \""hours\"": \""07h00 à 15h00\""},{\""days\"": \""Tuesday\"", \""hours\"": \""10h00 à 18h00\""},{\""days\"": \""Wednesday\"", \""hours\"": \""09h00 à 17h00\""},{\""days\"": \""Thursday\"", \""hours\"": \""08h00 à 16h00\""},{\""days\"": \""Friday\"", \""hours\"": \""11h00 à 19h00\""},{\""days\"": \""Saturday\"", \""hours\"": \""10h00 à 14h00\""}]""";7.43;Angle Bd Moulay Youssef et Bd Ibn Khaldoun;;Angle Bd Moulay Youssef et Bd Ibn Khaldoun;50000;03316604;25980996;001711178000070;1;1;59077;013810010700003180017494;4530;2005;800;1500000;4110
clrs2ieef01tskjeyfyc6q5b4;Sela Gallery Rabat;IBGR;3.5 Km, Angle Rue Rif et Avenue MVI;3.5 Km, Angle Rue Rif et Avenue MVI;Rabat;/uploads/logos/_224327c2-6a91-4e01-853f-5a7609c0c9b9.jpeg;Maroc;3.5 Km, Angle Rue Rif et Avenue MVI;SPH Shopping Center;3.5 Km, Angle Rue Rif et Avenue MVI;Mr;N/A;N/A;N/A;BMCI;N/A;Rabat;Carrefour;2024-01-24 17:37:19.719;2024-01-24 17:37:19.719;/uploads/images/retail-centers/lbg-rabat.jpg;Av. AC60 et Route Sidi Messaoud – Route Bouskoura 20190 Casablanca;[];3.5 Km, Angle Rue Rif et Avenue MVI;;"""[{\""days\"": \""Sunday\"", \""hours\"": \""11h00 à 17h00\""},{\""days\"": \""Monday\"", \""hours\"": \""12h00 à 20h00\""},{\""days\"": \""Tuesday\"", \""hours\"": \""13h00 à 21h00\""},{\""days\"": \""Wednesday\"", \""hours\"": \""14h00 à 22h00\""},{\""days\"": \""Thursday\"", \""hours\"": \""15h00 à 23h00\""},{\""days\"": \""Friday\"", \""hours\"": \""16h00 à 00h00\""},{\""days\"": \""Saturday\"", \""hours\"": \""12h00 à 20h00\""}]""";8.0;3.5 Km, Angle Rue Rif et Avenue MVI;;3.5 Km, Angle Rue Rif et Avenue MVI;10170;03315184;25900524;001709907000049;1;1;29311;013810010700002600015694;8472;2001;800;1000000;2740
clrs2lxn302btkjey716vte1s;LBG Safi;IBGS;Angle Bd Zerktouni et Rue Benabdellah Ville Nouvelle;Angle Bd Zerktouni et Rue Benabdellah Ville Nouvelle;Safi;/uploads/logos/lbg.jpg;Maroc;Angle Bd Zerktouni et Rue Benabdellah Ville Nouvelle;First Commercial Estate Safi;Carrefour Market Lissasfa Rue Toubkal Casablanca;Mr;N/A;N/A;N/A;BMCI;N/A;Casablanca;Carrefour;2024-01-24 17:40:04.623;2024-01-24 17:40:04.623;/uploads/images/retail-centers/lbg-safi.jpg;Av. AC60 et Route Sidi Messaoud – Route Bouskoura 20190 Casablanca;[];Angle Bd Zerktouni et Rue Benabdellah Ville Nouvelle;;"""[{\""days\"": \""Sunday\"", \""hours\"": \""09h00 à 15h00\""},{\""days\"": \""Monday\"", \""hours\"": \""08h00 à 16h00\""},{\""days\"": \""Tuesday\"", \""hours\"": \""07h00 à 15h00\""},{\""days\"": \""Wednesday\"", \""hours\"": \""10h00 à 18h00\""},{\""days\"": \""Thursday\"", \""hours\"": \""11h00 à 19h00\""},{\""days\"": \""Friday\"", \""hours\"": \""12h00 à 20h00\""},{\""days\"": \""Saturday\"", \""hours\"": \""09h00 à 13h00\""}]""";7.14;Angle Bd Zerktouni et Rue Benabdellah Ville Nouvelle;;Angle Bd Zerktouni et Rue Benabdellah Ville Nouvelle;46000;2203878;36292627;001711157000055;1;1;159613;013810010700009500013694;4676;2011;800;1500000;4110
clrs2n2zm02h8kjey4r33kccb;Sela Park Agadir;SPA;80000 Agadir;80000 Agadir;Agadir;/uploads/logos/sela.jpg;Maroc;80000 Agadir;La Générale Foncière du Golf;Rte Secondaire 1029 Sidi Maârouf 20520 Casablanca;Mr;N/A;N/A;N/A;BMCE CA RABAT FOR GFC;N/A;Casablanca;Carrefour;2024-01-24 17:40:58.210;2024-01-24 17:40:58.210;/uploads/images/retail-centers/sela-park-agadir.jpg;Av. AC60 et Route Sidi Messaoud – Route Bouskoura 20190 Casablanca;[];80000 Agadir;;"""[{\""days\"": \""Sunday\"", \""hours\"": \""12h00 à 20h00\""},{\""days\"": \""Monday\"", \""hours\"": \""07h00 à 15h00\""},{\""days\"": \""Tuesday\"", \""hours\"": \""09h00 à 17h00\""},{\""days\"": \""Wednesday\"", \""hours\"": \""10h00 à 18h00\""},{\""days\"": \""Thursday\"", \""hours\"": \""11h00 à 19h00\""},{\""days\"": \""Friday\"", \""hours\"": \""13h00 à 21h00\""},{\""days\"": \""Saturday\"", \""hours\"": \""08h00 à 12h00\""}]""";7.43;80000 Agadir;;80000 Agadir;80000;2200854;36100022;001753813000024;1;1;105795;011780000009210002144796;17753;2020;800;1000000;2740
clrs2p5ui02rdkjeyqw4654la;Sela Park Temara;SPT;12020 Temara;12020 Temara;Temara;/uploads/logos/sela.jpg;Maroc;12020 Temara;Aradei Capital SA;Rte Secondaire 1029 Sidi Maârouf 20520 Casablanca;Mr;N/A;N/A;N/A;BMCI;N/A;Casablanca;Carrefour;2024-01-24 17:42:35.227;2024-01-24 17:42:35.227;/uploads/images/retail-centers/sela-park-temara.jpg;Av. AC60 et Route Sidi Messaoud – Route Bouskoura 20190 Casablanca;[];12020 Temara;;"""[{\""days\"": \""Sunday\"", \""hours\"": \""10h00 à 16h00\""},{\""days\"": \""Monday\"", \""hours\"": \""09h00 à 17h00\""},{\""days\"": \""Tuesday\"", \""hours\"": \""08h00 à 16h00\""},{\""days\"": \""Wednesday\"", \""hours\"": \""12h00 à 20h00\""},{\""days\"": \""Thursday\"", \""hours\"": \""13h00 à 21h00\""},{\""days\"": \""Friday\"", \""hours\"": \""14h00 à 22h00\""},{\""days\"": \""Saturday\"", \""hours\"": \""09h00 à 13h00\""}]""";7.14;12020 Temara;;12020 Temara;12020;02200742;36100010;001690663000008;1;1;57265;013810010700010300011494;17959;2019;800;500000;1370
clrs2qy9r030akjeyb8pws78w;Sela Plaza Dar Bouazza;SPDB;27223 Nouaceur;27223 Nouaceur;Casablanca;/uploads/logos/sela.jpg;Maroc;27223 Nouaceur;Dar Bouazza Community Center;Rte Secondaire 1029 Sidi Maârouf 20520 Casablanca;Mr;N/A;N/A;N/A;BMCE;N/A;Casablanca;Carrefour;2024-01-24 17:43:58.719;2024-01-24 17:43:58.719;/uploads/images/retail-centers/sela-plaza-dar-bouazza.jpg;Av. AC60 et Route Sidi Messaoud – Route Bouskoura 20190 Casablanca;[];27223 Nouaceur;;"""[{\""days\"": \""Sunday\"", \""hours\"": \""11h00 à 19h00\""},{\""days\"": \""Monday\"", \""hours\"": \""10h00 à 18h00\""},{\""days\"": \""Tuesday\"", \""hours\"": \""09h00 à 17h00\""},{\""days\"": \""Wednesday\"", \""hours\"": \""08h00 à 16h00\""},{\""days\"": \""Thursday\"", \""hours\"": \""07h00 à 15h00\""},{\""days\"": \""Friday\"", \""hours\"": \""06h00 à 14h00\""},{\""days\"": \""Saturday\"", \""hours\"": \""12h00 à 20h00\""}]""";8.0;27223 Nouaceur;;27223 Nouaceur;27223;25089545;36100422;002038359000070;1;1;379591;013810010700015630015994;13721;2019;800;500000;1370
clrs2sxil03a4kjeyzascqgvr;Sela Plaza Targa;SPT;Route de Targa;Route de Targa;Marrakech;/uploads/logos/sela.jpg;Maroc;Route de Targa;Aradei Capital SA;Rte Secondaire 1029 Sidi Maârouf 20520 Casablanca;Mr;N/A;N/A;N/A;CFG;N/A;Casablanca;Carrefour;2024-01-24 17:45:31.054;2024-01-24 17:45:31.054;/uploads/images/retail-centers/sela-plaza-targa.jpg;Av. AC60 et Route Sidi Messaoud – Route Bouskoura 20190 Casablanca;[];Route de Targa;;"""[{\""days\"": \""Sunday\"", \""hours\"": \""10h00 à 18h00\""},{\""days\"": \""Monday\"", \""hours\"": \""12h00 à 20h00\""},{\""days\"": \""Tuesday\"", \""hours\"": \""14h00 à 22h00\""},{\""days\"": \""Wednesday\"", \""hours\"": \""16h00 à 00h00\""},{\""days\"": \""Thursday\"", \""hours\"": \""18h00 à 02h00\""},{\""days\"": \""Friday\"", \""hours\"": \""20h00 à 04h00\""},{\""days\"": \""Saturday\"", \""hours\"": \""22h00 à 06h00\""}]""";8.0;Route de Targa;;Route de Targa;40140;02200742;36100010;001690663000008;1;1;57265;050780004010321161200179;13088;2019;800;500000;1370
clrs2v2aw03knkjeyjgcjva21;Socco Alto;SOAL;Route de Boubana;Route de Boubana;Tanger;/uploads/logos/soccoAlto.jpg;Maroc;Route de Boubana;Société des Centres Commerciaux du Détroit;Route de Boubana;Mr;Nom;Prenom;N/A;BMCI;N/A;Rabat;Carrefour;2024-01-24 17:47:10.569;2024-01-24 17:47:10.569;/uploads/images/retail-centers/socco-alto.jpg;Av. AC60 et Route Sidi Messaoud – Route Bouskoura 20190 Casablanca;[];Route de Boubana;;"""[{\""days\"": \""Sunday\"", \""hours\"": \""06h00 à 12h00\""},{\""days\"": \""Monday\"", \""hours\"":""07h00 à 13h00\""},{\""days\"": \""Tuesday\"", \""hours\"": \""08h00 à 14h00\""},{\""days\"": \""Wednesday\"", \""hours\"": \""09h00 à 15h00\""},{\""days\"": \""Thursday\"", \""hours\"": \""10h00 à 16h00\""},{\""days\"": \""Friday\"", \""hours\"": \""11h00 à 17h00\""},{\""days\"": \""Saturday\"", \""hours\"": \""12h00 à 18h00\""}]""";6.0;Route de Boubana;;Route de Boubana;90040;04909152;25950358;000066682000003;1;1;111915;013810010700005400017694;31821;2016;777;1000000;2740
clrs314n504eckjeyvcloi3l9;Al Mazar;MZR;Route de l'Ourika, Aguedal;Route de l'Ourika, Aguedal;Marrakech;/uploads/logos/almazar.jpg;Maroc;Route de l'Ourika, Aguedal;Societé des Centres Commerciaux SUD;Route de l'Ourika, Aguedal;Mr;N/A;N/A;N/A;Banque Populaire;N/A;Rabat;Carrefour;2024-01-24 17:51:53.537;2024-01-24 17:51:53.537;/uploads/images/retail-centers/al-mazar.jpg;Av. AC60 et Route Sidi Messaoud – Route Bouskoura 20190 Casablanca;[];Route de l'Ourika, Aguedal;;"""[{\""days\"": \""Sunday\"", \""hours\"": \""08h00 à 14h00\""},{\""days\"": \""Monday\"", \""hours\"": \""09h00 à 15h00\""},{\""days\"": \""Tuesday\"", \""hours\"": \""10h00 à 16h00\""},{\""days\"": \""Wednesday\"", \""hours\"": \""11h00 à 17h00\""},{\""days\"": \""Thursday\"", \""hours\"": \""12h00 à 18h00\""},{\""days\"": \""Friday\"", \""hours\"": \""13h00 à 19h00\""},{\""days\"": \""Saturday\"", \""hours\"": \""14h00 à 20h00\""}]""";6.0;Route de l'Ourika, Aguedal;;Route de l'Ourika, Aguedal;40000;3317135;25980932;001711245000007;1;1;60167;190780212117163081000979;33364;2010;800;1000000;2740
clrs35m7u0512kjeyv08hxduh;Atacadao Ain Sbaa;ATAS;Quartier Beausite, Voie AS.31;Quartier Beausite, Voie AS.31;Casablanca;/uploads/logos/atacadao.jpg;Maroc;Quartier Beausite, Voie AS.31;La Générale Foncière du Golf II;Quartier Beausite, Voie AS.31;Mr;N/A;N/A;N/A;BMCI;N/A;Casablanca;Carrefour;2024-01-24 17:55:22.938;2024-01-24 17:55:22.938;/uploads/images/asset_soccoalto.jpg;Av. AC60 et Route Sidi Messaoud – Route Bouskoura 20190 Casablanca;[];Quartier Beausite, Voie AS.31;;"""[{\""days\"": \""Sunday\"", \""hours\"": \""12h00 à 20h00\""},{\""days\"": \""Monday\"", \""hours\"": \""14h00 à 22h00\""},{\""days\"": \""Tuesday\"", \""hours\"": \""16h00 à 00h00\""},{\""days\"": \""Wednesday\"", \""hours\"": \""18h00 à 02h00\""},{\""days\"": \""Thursday\"", \""hours\"": \""20h00 à 04h00\""},{\""days\"": \""Friday\"", \""hours\"": \""22h00 à 06h00\""},{\""days\"": \""Saturday\"", \""hours\"": \""00h00 à 08h00\""}]""";8.0;Quartier Beausite, Voie AS.31;;Quartier Beausite, Voie AS.31;20250;02200098;36100023;000528151000087;1;1;105793;013810010700013790013294;20310;1990;800;100000;274
clrs36ela054tkjey0f7zceua;Carrefour Sidi Maarouf;CFSM;Sidi Maarouf;Sidi Maarouf;Casablanca;/uploads/logos/carrefour.jpg;Maroc;Sidi Maarouf;La Générale Foncière du Golf;Rte Secondaire 1029 Sidi Maârouf 20520 Casablanca;Mr;N/A;N/A;N/A;BMCI;N/A;Casablanca;Carrefour;2024-01-24 17:55:59.711;2024-01-24 17:55:59.711;/uploads/images/retail-centers/carrefour-sidi-maarouf.jpg;Av. AC60 et Route Sidi Messaoud – Route Bouskoura 20190 Casablanca;[];Sidi Maarouf;;"""[{\""days\"": \""Sunday\"", \""hours\"": \""09h00 à 15h00\""},{\""days\"": \""Monday\"", \""hours\"": \""10h00 à 16h00\""},{\""days\"": \""Tuesday\"", \""hours\"": \""11h00 à 17h00\""},{\""days\"": \""Wednesday\"", \""hours\"": \""12h00 à 18h00\""},{\""days\"": \""Thursday\"", \""hours\"": \""13h00 à 19h00\""},{\""days\"": \""Friday\"", \""hours\"": \""14h00 à 20h00\""},{\""days\"": \""Saturday\"", \""hours\"": \""15h00 à 21h00\""}]""";6.0;Sidi Maarouf;;Sidi Maarouf;20150;2200854;36100022;001753813000024;1;1;105795;013810010700013800013994;15000;2015;800;1000000;2740
clrs36n9u0560kjeyd541eydv;Sela El Jadida;SEJ;El Jadida;El Jadida;El Jadida;/uploads/logos/sela.jpg;Maroc;El Jadida;Aradei Capital SA;Rte Secondaire 1029 Sidi Maârouf 20520 Casablanca;Mr;N/A;N/A;N/A;BMCI;N/A;Casablanca;Carrefour;2024-01-24 17:56:10.962;2024-01-24 17:56:10.962;/uploads/images/retail-centers/sela-el-jadida.jpg;Av. AC60 et Route Sidi Messaoud – Route Bouskoura 20190 Casablanca;[];El Jadida;;"""[{\""days\"": \""Sunday\"", \""hours\"": \""10h00 à 16h00\""},{\""days\"": \""Monday\"", \""hours\"": \""12h00 à 18h00\""},{\""days\"": \""Tuesday\"", \""hours\"": \""14h00 à 20h00\""},{\""days\"": \""Wednesday\"", \""hours\"": \""16h00 à 22h00\""},{\""days\"": \""Thursday\"", \""hours\"": \""18h00 à 00h00\""},{\""days\"": \""Friday\"", \""hours\"": \""20h00 à 02h00\""},{\""days\"": \""Saturday\"", \""hours\"": \""22h00 à 04h00\""}]""";6.0;El Jadida;;El Jadida;24000;02200742;36100010;001690663000008;1;1;57265;013810010700003110012594;8659;2019;800;500000;1370
clrs374ym058bkjeym06yj8fc;AlMaz;MAZ;Marrakech;Marrakech;Marrakech;/uploads/logos/_3b63f37a-226a-404d-87fc-68e246ef8895.jpeg;Maroc;Marrakech;Almaz;Marrakech;Mr;Nom;Prenom;;;;Rabat;Carrefour;2024-01-24 17:56:33.887;2024-01-24 17:56:33.887;/uploads/images/retail-centers/almaz.jpg;;[];Marrakech;;"""[{\""days\"": \""Sunday\"", \""hours\"": \""08h00 à 14h00\""},{\""days\"": \""Monday\"", \""hours\"": \""09h00 à 15h00\""},{\""days\"": \""Tuesday\"", \""hours\"": \""10h00 à 16h00\""},{\""days\"": \""Wednesday\"", \""hours\"": \""11h00 à 17h00\""},{\""days\"": \""Thursday\"", \""hours\"": \""12h00 à 18h00\""},{\""days\"": \""Friday\"", \""hours\"": \""13h00 à 19h00\""},{\""days\"": \""Saturday\"", \""hours\"": \""14h00 à 20h00\""}]""";6.0;Marrakech;;Marrakech;;;;;1;1;111915;;33000;2023;800;1000000;2740
clrs3bgft05uqkjey1q632m4f;CFAO;cfao;Marrakech;Marrakech;Marrakech;/uploads/logos/cfao.jpg;Maroc;Marrakech;CFAO;Marrakech;Mr;Nom;Prenom;;;;Rabat;Carrefour;2024-01-24 17:59:55.386;2024-01-24 17:59:55.386;/uploads/images/retail-centers/cfao.jpg;;[];Marrakech;;"""[{\""days\"": \""Sunday\"", \""hours\"": \""07h00 à 13h00\""},{\""days\"": \""Monday\"", \""hours\"": \""08h00 à 14h00\""},{\""days\"": \""Tuesday\"", \""hours\"": \""09h00 à 15h00\""},{\""days\"": \""Wednesday\"", \""hours\"": \""10h00 à 16h00\""},{\""days\"": \""Thursday\"", \""hours\"": \""11h00 à 17h00\""},{\""days\"": \""Friday\"", \""hours\"": \""12h00 à 18h00\""},{\""days\"": \""Saturday\"", \""hours\"": \""13h00 à 19h00\""}]""";6.0;Marrakech;;Marrakech;;;;;1;1;111915;;40000;2024;800;100000;274
clrs3hnj906plkjeyratr4spw;El Menzeh;MENZ;Quartier Californie;Quartier Californie;Casablanca;/uploads/logos/elmenzeh.jpg;Maroc;Quartier Californie;El Menzeh;Quartier Californie;Mr;Nom;Prenom;;;;Rabat;Carrefour;2024-01-24 18:04:44.518;2024-01-24 18:04:44.518;/uploads/images/retail-centers/el-menzeh.jpg;;[];Quartier Californie;;"""[{\""days\"": \""Sunday\"", \""hours\"": \""12h00 à 20h00\""},{\""days\"": \""Monday\"", \""hours\"": \""13h00 à 21h00\""},{\""days\"": \""Tuesday\"", \""hours\"": \""14h00 à 22h00\""},{\""days\"": \""Wednesday\"", \""hours\"": \""15h00 à 23h00\""},{\""days\"": \""Thursday\"", \""hours\"": \""16h00 à 00h00\""},{\""days\"": \""Friday\"", \""hours\"": \""17h00 à 01h00\""},{\""days\"": \""Saturday\"", \""hours\"": \""18h00 à 02h00\""}]""";8.0;Quartier Californie;;Quartier Californie;;;;;1;1;111915;;33830;2025;800;500000;1370
