id;name;alias;address;zip;capital;taxIF;patente;ice;city;logo;country;type;specialty;description;ownerEntity;headquarters;legalPersonTitle;legalPersonName;legalPersonFirstname;legalPersonRC;legalPersonPosition;bankName;bankIBAN;bankSWIFT;legalPersonCityRC;flagShip;surface;openingYear;parkingSpaces;createdAt;updatedAt;picture;addressCorrespondance;informationContact;mixMerchandising;socialMediaStats;workHours;specialtyLeasing;areaMap;demography;annualVisitors
clrs294xp00l0kjey9f9y064l;Borj Fez;BF;Avenue Allal Al Fassi;30000;Avenue Allal Al Fassi;40165848;25950070;001439348000072;Fes;/uploads/logos/borjFez.jpg;Maroc;1;1;Avenue Allal Al Fassi;Societé des Centres Commerciaux de FES;Avenue Allal Al Fassi;Mr;N/A;N/A;70835;N/A;Banque Centrale Populaire;19078021217163270000047;;Rabat;Hypermarché Carrefour;25599;2013;801;2024-01-24 17:30:07.549;2024-01-24 17:30:07.549;/uploads/images/retail-centers/borj-fez.jpg;Av. AC60 et Route Sidi Messaoud – Route Bouskoura 20190 Casablanca.;[];Avenue Allal Al Fassi;;"""[{\""days\"": \""Sunday\"", \""hours\"": \""12h00 à 20h00\""},{\""days\"": \""Monday\"", \""hours\"": \""08h00 à 16h00\""},{\""days\"": \""Tuesday\"", \""hours\"": \""09h00 à 17h00\""},{\""days\"": \""Wednesday\"", \""hours\"": \""10h00 à 18h00\""},{\""days\"": \""Thursday\"", \""hours\"": \""11h00 à 19h00\""},{\""days\"": \""Friday\"", \""hours\"": \""12h00 à 20h00\""},{\""days\"": \""Saturday\"", \""hours\"": \""08h00 à 14h00\""}]""";Avenue Allal Al Fassi;;Avenue Allal Al Fassi;3000000
clrs2e9an019ukjeyh12nouxl;LBG ElJadida;IBGJ;Boulevard Biranzaran, Route de Marrakech;24000;Boulevard Biranzaran, Route de Marrakech;2203870;37988014;001711216000014;El Jadida;/uploads/logos/lbg.jpg;Maroc;1;1;Boulevard Biranzaran, Route de Marrakech;First Commercial Estate El Jadida;Boulevard Biranzaran, Route de Marrakech;Mr;N/A;N/A;159457;N/A;AttijariWafa Bank;007810000181500000118783;N/A;Casablanca;Carrefour.;6031;2008;800;2024-01-24 17:34:06.480;2024-01-24 17:34:06.480;/uploads/images/retail-centers/lbg-eljadida.jpg;Av. AC60 et Route Sidi Messaoud – Route Bouskoura 20190 Casablanca;[];Boulevard Biranzaran, Route de Marrakech;;"""[{\""days\"": \""Sunday\"", \""hours\"": \""10h00 à 14h00\""},{\""days\"": \""Monday\"", \""hours\"": \""09h00 à 17h00\""},{\""days\"": \""Tuesday\"", \""hours\"": \""08h00 à 16h00\""},{\""days\"": \""Wednesday\"", \""hours\"": \""11h00 à 19h00\""},{\""days\"": \""Thursday\"", \""hours\"": \""12h00 à 20h00\""},{\""days\"": \""Friday\"", \""hours\"": \""13h00 à 21h00\""},{\""days\"": \""Saturday\"", \""hours\"": \""09h00 à 13h00\""}]""";Boulevard Biranzaran, Route de Marrakech;;Boulevard Biranzaran, Route de Marrakech;1000000
clrs2gfn801kgkjey5h12tk2v;LBG Meknes;IBGM;Angle Bd Moulay Youssef et Bd Ibn Khaldoun;50000;Angle Bd Moulay Youssef et Bd Ibn Khaldoun;03316604;25980996;001711178000070;Meknès;/uploads/logos/lbg.jpg;Maroc;1;1;Angle Bd Moulay Youssef et Bd Ibn Khaldoun;Société des Centres Commerciaux de Meknès;Angle Bd Moulay Youssef et Bd Ibn Khaldoun;Mr;N/A;N/A;59077;N/A;BMCI;013810010700003180017494;N/A;Rabat;Carrefour;4530;2005;800;2024-01-24 17:35:48.021;2024-01-24 17:35:48.021;/uploads/images/retail-centers/lbg-meknes.jpg;Av. AC60 et Route Sidi Messaoud – Route Bouskoura 20190 Casablanca;[];Angle Bd Moulay Youssef et Bd Ibn Khaldoun;;"""[{\""days\"": \""Sunday\"", \""hours\"": \""08h00 à 16h00\""},{\""days\"": \""Monday\"", \""hours\"": \""07h00 à 15h00\""},{\""days\"": \""Tuesday\"", \""hours\"": \""10h00 à 18h00\""},{\""days\"": \""Wednesday\"", \""hours\"": \""09h00 à 17h00\""},{\""days\"": \""Thursday\"", \""hours\"": \""08h00 à 16h00\""},{\""days\"": \""Friday\"", \""hours\"": \""11h00 à 19h00\""},{\""days\"": \""Saturday\"", \""hours\"": \""10h00 à 14h00\""}]""";Angle Bd Moulay Youssef et Bd Ibn Khaldoun;;Angle Bd Moulay Youssef et Bd Ibn Khaldoun;1500000
clrs2ieef01tskjeyfyc6q5b4;Sela Gallery Rabat;IBGR;3.5 Km, Angle Rue Rif et Avenue MVI;10170;3.5 Km, Angle Rue Rif et Avenue MVI;03315184;25900524;001709907000049;Rabat;/uploads/logos/_224327c2-6a91-4e01-853f-5a7609c0c9b9.jpeg;Maroc;1;1;3.5 Km, Angle Rue Rif et Avenue MVI;SPH Shopping Center;3.5 Km, Angle Rue Rif et Avenue MVI;Mr;N/A;N/A;29311;N/A;BMCI;013810010700002600015694;N/A;Rabat;Carrefour;8472;2001;800;2024-01-24 17:37:19.719;2024-01-24 17:37:19.719;/uploads/images/retail-centers/lbg-rabat.jpg;Av. AC60 et Route Sidi Messaoud – Route Bouskoura 20190 Casablanca;[];3.5 Km, Angle Rue Rif et Avenue MVI;;"""[{\""days\"": \""Sunday\"", \""hours\"": \""11h00 à 17h00\""},{\""days\"": \""Monday\"", \""hours\"": \""12h00 à 20h00\""},{\""days\"": \""Tuesday\"", \""hours\"": \""13h00 à 21h00\""},{\""days\"": \""Wednesday\"", \""hours\"": \""14h00 à 22h00\""},{\""days\"": \""Thursday\"", \""hours\"": \""15h00 à 23h00\""},{\""days\"": \""Friday\"", \""hours\"": \""16h00 à 00h00\""},{\""days\"": \""Saturday\"", \""hours\"": \""12h00 à 20h00\""}]""";3.5 Km, Angle Rue Rif et Avenue MVI;;3.5 Km, Angle Rue Rif et Avenue MVI;1000000
clrs2lxn302btkjey716vte1s;LBG Safi;IBGS;Angle Bd Zerktouni et Rue Benabdellah Ville Nouvelle;46000;Angle Bd Zerktouni et Rue Benabdellah Ville Nouvelle;2203878;36292627;001711157000055;Safi;/uploads/logos/lbg.jpg;Maroc;1;1;Angle Bd Zerktouni et Rue Benabdellah Ville Nouvelle;First Commercial Estate Safi;Carrefour Market Lissasfa Rue Toubkal Casablanca;Mr;N/A;N/A;159613;N/A;BMCI;013810010700009500013694;N/A;Casablanca;Carrefour;4676;2011;800;2024-01-24 17:40:04.623;2024-01-24 17:40:04.623;/uploads/images/retail-centers/lbg-safi.jpg;Av. AC60 et Route Sidi Messaoud – Route Bouskoura 20190 Casablanca;[];Angle Bd Zerktouni et Rue Benabdellah Ville Nouvelle;;"""[{\""days\"": \""Sunday\"", \""hours\"": \""09h00 à 15h00\""},{\""days\"": \""Monday\"", \""hours\"": \""08h00 à 16h00\""},{\""days\"": \""Tuesday\"", \""hours\"": \""07h00 à 15h00\""},{\""days\"": \""Wednesday\"", \""hours\"": \""10h00 à 18h00\""},{\""days\"": \""Thursday\"", \""hours\"": \""11h00 à 19h00\""},{\""days\"": \""Friday\"", \""hours\"": \""12h00 à 20h00\""},{\""days\"": \""Saturday\"", \""hours\"": \""09h00 à 13h00\""}]""";Angle Bd Zerktouni et Rue Benabdellah Ville Nouvelle;;Angle Bd Zerktouni et Rue Benabdellah Ville Nouvelle;1500000
clrs2n2zm02h8kjey4r33kccb;Sela Park Agadir;SPA;80000 Agadir;80000;80000 Agadir;2200854;36100022;001753813000024;Agadir;/uploads/logos/sela.jpg;Maroc;1;1;80000 Agadir;La Générale Foncière du Golf;Rte Secondaire 1029 Sidi Maârouf 20520 Casablanca;Mr;N/A;N/A;105795;N/A;BMCE CA RABAT FOR GFC;011780000009210002144796;N/A;Casablanca;Carrefour;17753;2020;800;2024-01-24 17:40:58.210;2024-01-24 17:40:58.210;/uploads/images/retail-centers/sela-park-agadir.jpg;Av. AC60 et Route Sidi Messaoud – Route Bouskoura 20190 Casablanca;[];80000 Agadir;;"""[{\""days\"": \""Sunday\"", \""hours\"": \""12h00 à 20h00\""},{\""days\"": \""Monday\"", \""hours\"": \""07h00 à 15h00\""},{\""days\"": \""Tuesday\"", \""hours\"": \""09h00 à 17h00\""},{\""days\"": \""Wednesday\"", \""hours\"": \""10h00 à 18h00\""},{\""days\"": \""Thursday\"", \""hours\"": \""11h00 à 19h00\""},{\""days\"": \""Friday\"", \""hours\"": \""13h00 à 21h00\""},{\""days\"": \""Saturday\"", \""hours\"": \""08h00 à 12h00\""}]""";80000 Agadir;;80000 Agadir;1000000
clrs2p5ui02rdkjeyqw4654la;Sela Park Temara;SPT;12020 Temara;12020;12020 Temara;02200742;36100010;001690663000008;Temara;/uploads/logos/sela.jpg;Maroc;1;1;12020 Temara;Aradei Capital SA;Rte Secondaire 1029 Sidi Maârouf 20520 Casablanca;Mr;N/A;N/A;57265;N/A;BMCI;013810010700010300011494;N/A;Casablanca;Carrefour;17959;2019;800;2024-01-24 17:42:35.227;2024-01-24 17:42:35.227;/uploads/images/retail-centers/sela-park-temara.jpg;Av. AC60 et Route Sidi Messaoud – Route Bouskoura 20190 Casablanca;[];12020 Temara;;"""[{\""days\"": \""Sunday\"", \""hours\"": \""10h00 à 16h00\""},{\""days\"": \""Monday\"", \""hours\"": \""09h00 à 17h00\""},{\""days\"": \""Tuesday\"", \""hours\"": \""08h00 à 16h00\""},{\""days\"": \""Wednesday\"", \""hours\"": \""12h00 à 20h00\""},{\""days\"": \""Thursday\"", \""hours\"": \""13h00 à 21h00\""},{\""days\"": \""Friday\"", \""hours\"": \""14h00 à 22h00\""},{\""days\"": \""Saturday\"", \""hours\"": \""09h00 à 13h00\""}]""";12020 Temara;;12020 Temara;500000
clrs2qy9r030akjeyb8pws78w;Sela Plaza Dar Bouazza;SPDB;27223 Nouaceur;27223;27223 Nouaceur;25089545;36100422;002038359000070;Casablanca;/uploads/logos/sela.jpg;Maroc;1;1;27223 Nouaceur;Dar Bouazza Community Center;Rte Secondaire 1029 Sidi Maârouf 20520 Casablanca;Mr;N/A;N/A;379591;N/A;BMCE;013810010700015630015994;N/A;Casablanca;Carrefour;13721;2019;800;2024-01-24 17:43:58.719;2024-01-24 17:43:58.719;/uploads/images/retail-centers/sela-plaza-dar-bouazza.jpg;Av. AC60 et Route Sidi Messaoud – Route Bouskoura 20190 Casablanca;[];27223 Nouaceur;;"""[{\""days\"": \""Sunday\"", \""hours\"": \""11h00 à 19h00\""},{\""days\"": \""Monday\"", \""hours\"": \""10h00 à 18h00\""},{\""days\"": \""Tuesday\"", \""hours\"": \""09h00 à 17h00\""},{\""days\"": \""Wednesday\"", \""hours\"": \""08h00 à 16h00\""},{\""days\"": \""Thursday\"", \""hours\"": \""07h00 à 15h00\""},{\""days\"": \""Friday\"", \""hours\"": \""06h00 à 14h00\""},{\""days\"": \""Saturday\"", \""hours\"": \""12h00 à 20h00\""}]""";27223 Nouaceur;;27223 Nouaceur;500000
clrs2sxil03a4kjeyzascqgvr;Sela Plaza Targa;SPT;Route de Targa;40140;Route de Targa;02200742;36100010;001690663000008;Marrakech;/uploads/logos/sela.jpg;Maroc;1;1;Route de Targa;Aradei Capital SA;Rte Secondaire 1029 Sidi Maârouf 20520 Casablanca;Mr;N/A;N/A;57265;N/A;CFG;050780004010321161200179;N/A;Casablanca;Carrefour;13088;2019;800;2024-01-24 17:45:31.054;2024-01-24 17:45:31.054;/uploads/images/retail-centers/sela-plaza-targa.jpg;Av. AC60 et Route Sidi Messaoud – Route Bouskoura 20190 Casablanca;[];Route de Targa;;"""[{\""days\"": \""Sunday\"", \""hours\"": \""10h00 à 18h00\""},{\""days\"": \""Monday\"", \""hours\"": \""12h00 à 20h00\""},{\""days\"": \""Tuesday\"", \""hours\"": \""14h00 à 22h00\""},{\""days\"": \""Wednesday\"", \""hours\"": \""16h00 à 00h00\""},{\""days\"": \""Thursday\"", \""hours\"": \""18h00 à 02h00\""},{\""days\"": \""Friday\"", \""hours\"": \""20h00 à 04h00\""},{\""days\"": \""Saturday\"", \""hours\"": \""22h00 à 06h00\""}]""";Route de Targa;;Route de Targa;500000
clrs2v2aw03knkjeyjgcjva21;Socco Alto;SOAL;Route de Boubana;90040;Route de Boubana;04909152;25950358;000066682000003;Tanger;/uploads/logos/soccoAlto.jpg;Maroc;1;1;Route de Boubana;Société des Centres Commerciaux du Détroit;Route de Boubana;Mr;Nom;Prenom;111915;N/A;BMCI;013810010700005400017694;N/A;Rabat;Carrefour;31821;2016;777;2024-01-24 17:47:10.569;2024-01-24 17:47:10.569;/uploads/images/retail-centers/socco-alto.jpg;Av. AC60 et Route Sidi Messaoud – Route Bouskoura 20190 Casablanca;[];Route de Boubana;;"""[{\""days\"": \""Sunday\"", \""hours\"": \""06h00 à 12h00\""},{\""days\"": \""Monday\"", \""hours\"":""07h00 à 13h00\""},{\""days\"": \""Tuesday\"", \""hours\"": \""08h00 à 14h00\""},{\""days\"": \""Wednesday\"", \""hours\"": \""09h00 à 15h00\""},{\""days\"": \""Thursday\"", \""hours\"": \""10h00 à 16h00\""},{\""days\"": \""Friday\"", \""hours\"": \""11h00 à 17h00\""},{\""days\"": \""Saturday\"", \""hours\"": \""12h00 à 18h00\""}]""";Route de Boubana;;Route de Boubana;1000000
clrs314n504eckjeyvcloi3l9;Al Mazar;MZR;Route de l'Ourika, Aguedal;40000;Route de l'Ourika, Aguedal;3317135;25980932;001711245000007;Marrakech;/uploads/logos/almazar.jpg;Maroc;1;1;Route de l'Ourika, Aguedal;Societé des Centres Commerciaux SUD;Route de l'Ourika, Aguedal;Mr;N/A;N/A;60167;N/A;Banque Populaire;190780212117163081000979;N/A;Rabat;Carrefour;33364;2010;800;2024-01-24 17:51:53.537;2024-01-24 17:51:53.537;/uploads/images/retail-centers/al-mazar.jpg;Av. AC60 et Route Sidi Messaoud – Route Bouskoura 20190 Casablanca;[];Route de l'Ourika, Aguedal;;"""[{\""days\"": \""Sunday\"", \""hours\"": \""08h00 à 14h00\""},{\""days\"": \""Monday\"", \""hours\"": \""09h00 à 15h00\""},{\""days\"": \""Tuesday\"", \""hours\"": \""10h00 à 16h00\""},{\""days\"": \""Wednesday\"", \""hours\"": \""11h00 à 17h00\""},{\""days\"": \""Thursday\"", \""hours\"": \""12h00 à 18h00\""},{\""days\"": \""Friday\"", \""hours\"": \""13h00 à 19h00\""},{\""days\"": \""Saturday\"", \""hours\"": \""14h00 à 20h00\""}]""";Route de l'Ourika, Aguedal;;Route de l'Ourika, Aguedal;1000000
clrs35m7u0512kjeyv08hxduh;Atacadao Ain Sbaa;ATAS;Quartier Beausite, Voie AS.31;20250;Quartier Beausite, Voie AS.31;02200098;36100023;000528151000087;Casablanca;/uploads/logos/atacadao.jpg;Maroc;1;1;Quartier Beausite, Voie AS.31;La Générale Foncière du Golf II;Quartier Beausite, Voie AS.31;Mr;N/A;N/A;105793;N/A;BMCI;013810010700013790013294;N/A;Casablanca;Carrefour;20310;1990;800;2024-01-24 17:55:22.938;2024-01-24 17:55:22.938;/uploads/images/asset_soccoalto.jpg;Av. AC60 et Route Sidi Messaoud – Route Bouskoura 20190 Casablanca;[];Quartier Beausite, Voie AS.31;;"""[{\""days\"": \""Sunday\"", \""hours\"": \""12h00 à 20h00\""},{\""days\"": \""Monday\"", \""hours\"": \""14h00 à 22h00\""},{\""days\"": \""Tuesday\"", \""hours\"": \""16h00 à 00h00\""},{\""days\"": \""Wednesday\"", \""hours\"": \""18h00 à 02h00\""},{\""days\"": \""Thursday\"", \""hours\"": \""20h00 à 04h00\""},{\""days\"": \""Friday\"", \""hours\"": \""22h00 à 06h00\""},{\""days\"": \""Saturday\"", \""hours\"": \""00h00 à 08h00\""}]""";Quartier Beausite, Voie AS.31;;Quartier Beausite, Voie AS.31;100000
clrs36ela054tkjey0f7zceua;Carrefour Sidi Maarouf;CFSM;Sidi Maarouf;20150;Sidi Maarouf;2200854;36100022;001753813000024;Casablanca;/uploads/logos/carrefour.jpg;Maroc;1;1;Sidi Maarouf;La Générale Foncière du Golf;Rte Secondaire 1029 Sidi Maârouf 20520 Casablanca;Mr;N/A;N/A;105795;N/A;BMCI;013810010700013800013994;N/A;Casablanca;Carrefour;15000;2015;800;2024-01-24 17:55:59.711;2024-01-24 17:55:59.711;/uploads/images/retail-centers/carrefour-sidi-maarouf.jpg;Av. AC60 et Route Sidi Messaoud – Route Bouskoura 20190 Casablanca;[];Sidi Maarouf;;"""[{\""days\"": \""Sunday\"", \""hours\"": \""09h00 à 15h00\""},{\""days\"": \""Monday\"", \""hours\"": \""10h00 à 16h00\""},{\""days\"": \""Tuesday\"", \""hours\"": \""11h00 à 17h00\""},{\""days\"": \""Wednesday\"", \""hours\"": \""12h00 à 18h00\""},{\""days\"": \""Thursday\"", \""hours\"": \""13h00 à 19h00\""},{\""days\"": \""Friday\"", \""hours\"": \""14h00 à 20h00\""},{\""days\"": \""Saturday\"", \""hours\"": \""15h00 à 21h00\""}]""";Sidi Maarouf;;Sidi Maarouf;1000000
clrs36n9u0560kjeyd541eydv;Sela El Jadida;SEJ;El Jadida;24000;El Jadida;02200742;36100010;001690663000008;El Jadida;/uploads/logos/sela.jpg;Maroc;1;1;El Jadida;Aradei Capital SA;Rte Secondaire 1029 Sidi Maârouf 20520 Casablanca;Mr;N/A;N/A;57265;N/A;BMCI;013810010700003110012594;N/A;Casablanca;Carrefour;8659;2019;800;2024-01-24 17:56:10.962;2024-01-24 17:56:10.962;/uploads/images/retail-centers/sela-el-jadida.jpg;Av. AC60 et Route Sidi Messaoud – Route Bouskoura 20190 Casablanca;[];El Jadida;;"""[{\""days\"": \""Sunday\"", \""hours\"": \""10h00 à 16h00\""},{\""days\"": \""Monday\"", \""hours\"": \""12h00 à 18h00\""},{\""days\"": \""Tuesday\"", \""hours\"": \""14h00 à 20h00\""},{\""days\"": \""Wednesday\"", \""hours\"": \""16h00 à 22h00\""},{\""days\"": \""Thursday\"", \""hours\"": \""18h00 à 00h00\""},{\""days\"": \""Friday\"", \""hours\"": \""20h00 à 02h00\""},{\""days\"": \""Saturday\"", \""hours\"": \""22h00 à 04h00\""}]""";El Jadida;;El Jadida;500000
clrs374ym058bkjeym06yj8fc;AlMaz;MAZ;Marrakech;;Marrakech;;;;Marrakech;/uploads/logos/_3b63f37a-226a-404d-87fc-68e246ef8895.jpeg;Maroc;1;1;Marrakech;Almaz;Marrakech;Mr;Nom;Prenom;111915;;;;;Rabat;Carrefour;33000;2023;800;2024-01-24 17:56:33.887;2024-01-24 17:56:33.887;/uploads/images/retail-centers/almaz.jpg;;[];Marrakech;;"""[{\""days\"": \""Sunday\"", \""hours\"": \""08h00 à 14h00\""},{\""days\"": \""Monday\"", \""hours\"": \""09h00 à 15h00\""},{\""days\"": \""Tuesday\"", \""hours\"": \""10h00 à 16h00\""},{\""days\"": \""Wednesday\"", \""hours\"": \""11h00 à 17h00\""},{\""days\"": \""Thursday\"", \""hours\"": \""12h00 à 18h00\""},{\""days\"": \""Friday\"", \""hours\"": \""13h00 à 19h00\""},{\""days\"": \""Saturday\"", \""hours\"": \""14h00 à 20h00\""}]""";Marrakech;;Marrakech;1000000
clrs3bgft05uqkjey1q632m4f;CFAO;cfao;Marrakech;;Marrakech;;;;Marrakech;/uploads/logos/cfao.jpg;Maroc;1;1;Marrakech;CFAO;Marrakech;Mr;Nom;Prenom;111915;;;;;Rabat;Carrefour;40000;2024;800;2024-01-24 17:59:55.386;2024-01-24 17:59:55.386;/uploads/images/retail-centers/cfao.jpg;;[];Marrakech;;"""[{\""days\"": \""Sunday\"", \""hours\"": \""07h00 à 13h00\""},{\""days\"": \""Monday\"", \""hours\"": \""08h00 à 14h00\""},{\""days\"": \""Tuesday\"", \""hours\"": \""09h00 à 15h00\""},{\""days\"": \""Wednesday\"", \""hours\"": \""10h00 à 16h00\""},{\""days\"": \""Thursday\"", \""hours\"": \""11h00 à 17h00\""},{\""days\"": \""Friday\"", \""hours\"": \""12h00 à 18h00\""},{\""days\"": \""Saturday\"", \""hours\"": \""13h00 à 19h00\""}]""";Marrakech;;Marrakech;100000
clrs3hnj906plkjeyratr4spw;El Menzeh;MENZ;Quartier Californie;;Quartier Californie;;;;Casablanca;/uploads/logos/elmenzeh.jpg;Maroc;1;1;Quartier Californie;El Menzeh;Quartier Californie;Mr;Nom;Prenom;111915;;;;;Rabat;Carrefour;33830;2025;800;2024-01-24 18:04:44.518;2024-01-24 18:04:44.518;/uploads/images/retail-centers/el-menzeh.jpg;;[];Quartier Californie;;"""[{\""days\"": \""Sunday\"", \""hours\"": \""12h00 à 20h00\""},{\""days\"": \""Monday\"", \""hours\"": \""13h00 à 21h00\""},{\""days\"": \""Tuesday\"", \""hours\"": \""14h00 à 22h00\""},{\""days\"": \""Wednesday\"", \""hours\"": \""15h00 à 23h00\""},{\""days\"": \""Thursday\"", \""hours\"": \""16h00 à 00h00\""},{\""days\"": \""Friday\"", \""hours\"": \""17h00 à 01h00\""},{\""days\"": \""Saturday\"", \""hours\"": \""18h00 à 02h00\""}]""";Quartier Californie;;Quartier Californie;500000
